Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001
"0015A","Census Tract 0015A, St Louis City County, Missouri","140","2951001501000","29","510",5171
"0015B","Census Tract 0015B, St Louis City County, Missouri","140","2951001502000","29","510",3978
"0015C","Census Tract 0015C, St Louis City County, Missouri","140","2951001503000","29","510",6666
"0015D","Census Tract 0015D, St Louis City County, Missouri","140","2951001504000","29","510",4322
"0015E","Census Tract 0015E, St Louis City County, Missouri","140","2951001505000","29","510",9203
"0015F","Census Tract 0015F, St Louis City County, Missouri","140","2951001506000","29","510",8527
"0015G","Census Tract 0015G, St Louis City County, Missouri","140","2951001507000","29","510",6097
"0016A","Census Tract 0016A, St Louis City County, Missouri","140","2951001601000","29","510",4624
"0016B","Census Tract 0016B, St Louis City County, Missouri","140","2951001602000","29","510",8268
"0016C","Census Tract 0016C, St Louis City County, Missouri","140","2951001603000","29","510",10155
"0016D","Census Tract 0016D, St Louis City County, Missouri","140","2951001604000","29","510",8397
"0016E","Census Tract 0016E, St Louis City County, Missouri","140","2951001605000","29","510",7667
"0017A","Census Tract 0017A, St Louis City County, Missouri","140","2951001701000","29","510",4198
"0017B","Census Tract 0017B, St Louis City County, Missouri","140","2951001702000","29","510",14636
"0017C","Census Tract 0017C, St Louis City County, Missouri","140","2951001703000","29","510",10339
"0017D","Census Tract 0017D, St Louis City County, Missouri","140","2951001704000","29","510",8907
"0018A","Census Tract 0018A, St Louis City County, Missouri","140","2951001801000","29","510",5882
"0018B","Census Tract 0018B, St Louis City County, Missouri","140","2951001802000","29","510",7964
"0018C","Census Tract 0018C, St Louis City County, Missouri","140","2951001803000","29","510",1861
"0018D","Census Tract 0018D, St Louis City County, Missouri","140","2951001804000","29","510",4475
"0018E","Census Tract 0018E, St Louis City County, Missouri","140","2951001805000","29","510",7183
"0019A","Census Tract 0019A, St Louis City County, Missouri","140","2951001901000","29","510",11918
"0019B","Census Tract 0019B, St Louis City County, Missouri","140","2951001902000","29","510",10068
"0019C","Census Tract 0019C, St Louis City County, Missouri","140","2951001903000","29","510",10267
"0020A","Census Tract 0020A, St Louis City County, Missouri","140","2951002001000","29","510",8347
"0020B","Census Tract 0020B, St Louis City County, Missouri","140","2951002002000","29","510",5496
"0020C","Census Tract 0020C, St Louis City County, Missouri","140","2951002003000","29","510",13200
"0021A","Census Tract 0021A, St Louis City County, Missouri","140","2951002101000","29","510",11648
"0021B","Census Tract 0021B, St Louis City County, Missouri","140","2951002102000","29","510",14233
"0021C","Census Tract 0021C, St Louis City County, Missouri","140","2951002103000","29","510",17307
"0021D","Census Tract 0021D, St Louis City County, Missouri","140","2951002104000","29","510",7703
"0022A","Census Tract 0022A, St Louis City County, Missouri","140","2951002201000","29","510",12186
"0022B","Census Tract 0022B, St Louis City County, Missouri","140","2951002202000","29","510",6028
"0022C","Census Tract 0022C, St Louis City County, Missouri","140","2951002203000","29","510",1110
"0022D","Census Tract 0022D, St Louis City County, Missouri","140","2951002204000","29","510",11402
"0023A","Census Tract 0023A, St Louis City County, Missouri","140","2951002301000","29","510",12878
"0023B","Census Tract 0023B, St Louis City County, Missouri","140","2951002302000","29","510",12530
"0023C","Census Tract 0023C, St Louis City County, Missouri","140","2951002303000","29","510",9929
"0023D","Census Tract 0023D, St Louis City County, Missouri","140","2951002304000","29","510",18492
"0023E","Census Tract 0023E, St Louis City County, Missouri","140","2951002305000","29","510",6193
"0024A","Census Tract 0024A, St Louis City County, Missouri","140","2951002401000","29","510",10040
"0024B","Census Tract 0024B, St Louis City County, Missouri","140","2951002402000","29","510",7743
"0024C","Census Tract 0024C, St Louis City County, Missouri","140","2951002403000","29","510",11729
"0024D","Census Tract 0024D, St Louis City County, Missouri","140","2951002404000","29","510",2808
"0024E","Census Tract 0024E, St Louis City County, Missouri","140","2951002405000","29","510",4000
"0025A","Census Tract 0025A, St Louis City County, Missouri","140","2951002501000","29","510",3082
"0025B","Census Tract 0025B, St Louis City County, Missouri","140","2951002502000","29","510",11772
"0025C","Census Tract 0025C, St Louis City County, Missouri","140","2951002503000","29","510",2882
"0025D","Census Tract 0025D, St Louis City County, Missouri","140","2951002504000","29","510",901
"0026A","Census Tract 0026A, St Louis City County, Missouri","140","2951002601000","29","510",11825
"0026B","Census Tract 0026B, St Louis City County, Missouri","140","2951002602000","29","510",4820
"0026C","Census Tract 0026C, St Louis City County, Missouri","140","2951002603000","29","510",7358
"0026D","Census Tract 0026D, St Louis City County, Missouri","140","2951002604000","29","510",5744
"0026E","Census Tract 0026E, St Louis City County, Missouri","140","2951002605000","29","510",5005
